brand,model,model_year,engine,transmission,int_col,accident,price
Cadillac,Escalade Base,2007,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,9999
Jaguar,XK8 Base,2000,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,None reported,15400
Jeep,Wrangler Sport,2000,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Brown,None reported,13900
BMW,X3 M40i,2019,3.0 Liter Turbo,Automatic,Oyster W/Contrast,None reported,39998
Toyota,Sequoia Limited,2011,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,16000
Lexus,LC 500 Base,2018,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,None reported,63997
Ford,Mustang Base,2008,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,13500
BMW,i3 120Ah w/Range Extender,2019,170.0HP 0.65L Electric Motor Electric Fuel System,A/T,Black,None reported,26990
Maserati,Ghibli S Q4,2015,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,,24900
Nissan,Pathfinder SL,2015,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,11995
Mercedes-Benz,CLK-Class CLK 350,2008,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,8400
Kia,Stinger GT2,2020,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,At least 1 accident or damage reported,36500
Porsche,911 Turbo Cabriolet,2009,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,130000
BMW,X6 xDrive50i,2017,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,At least 1 accident or damage reported,42000
BMW,ALPINA B7 Base,2013,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,35999
RAM,1500 Rebel,2019,305.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,–,None reported,37900
Genesis,G90 5.0 Ultimate,2017,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,33600
Bentley,Arnage R,2003,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,None reported,34995
Ford,Bronco Base,2022,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,None reported,49000
Lexus,LS 430 Base,2002,290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,15999
Mercedes-Benz,E-Class E 350,2016,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,24999
Chevrolet,Corvette Stingray w/1LT,2021,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,72900
BMW,525 i,2005,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,8900
Mercedes-Benz,AMG C 63 Base,2017,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,55600
Porsche,718 Cayman GT4,2020,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,124995
Genesis,GV80 2.5T,2022,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black,None reported,54543
Porsche,Cayenne S,2015,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,25000
BMW,528 i xDrive,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,At least 1 accident or damage reported,13500
Tesla,Model Y Long Range,2021,425.0HP Electric Motor Electric Fuel System,A/T,White,None reported,42000
BMW,M4 CS,2019,3.0 Liter DOHC Turbo,Automatic,Anthracite,None reported,69998
Toyota,FJ Cruiser Base,2014,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,27500
Chevrolet,Traverse RS,2021,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,36000
Lexus,SC 430 Base,2002,300.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,15999
Tesla,Model X Long Range Plus,2020,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,None reported,65990
Alfa,Romeo Stelvio Ti Sport,2020,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Ice,None reported,35645
Lexus,RC 350 Base,2016,3.5L V6 24V PDI DOHC,6-Speed Automatic,Black,None reported,30919
Nissan,350Z Enthusiast,2007,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,9975
Subaru,Crosstrek 2.0i Premium,2017,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,21495
Mercedes-Benz,SL-Class SL600 Roadster,2007,510.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,5-Speed A/T,Brown,At least 1 accident or damage reported,22999
Tesla,Model Y Long Range,2021,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,At least 1 accident or damage reported,36300
Chevrolet,Suburban 1500 LTZ,2010,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,None reported,12000
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,64000
Ford,Explorer XLT,2020,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Ebony,At least 1 accident or damage reported,32107
Dodge,Durango SRT,2020,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,62000
Lexus,RX 350 Base,2021,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,At least 1 accident or damage reported,48900
Mercedes-Benz,Maybach S S 600,2016,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,63500
BMW,M3 Base,2002,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,28750
Dodge,Durango GT,2021,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Black,None reported,37995
Cadillac,Escalade Premium Luxury,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Brown,None reported,88900
Ford,Expedition Max XLT,2018,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Beige,None reported,34995
Cadillac,CTS Premium,2013,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,12000
Chevrolet,Blazer 1LT,2019,2.5L I4 16V GDI DOHC,9-Speed Automatic,Jet Black,None reported,26990
BMW,X5 xDrive40e,2016,Electric,Automatic,Black,None reported,22998
Lincoln,Navigator Reserve,2020,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,At least 1 accident or damage reported,55999
Honda,S2000 Base,2000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,None reported,35000
BMW,M240 i,2018,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,34000
Jeep,Gladiator Rubicon,2022,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,54000
Mitsubishi,Lancer DE,2009,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,At least 1 accident or damage reported,3000
BMW,M4 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,42800
Ford,F-150 Raptor,2021,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,None reported,77900
Ford,F-350 Lariat,2015,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Beige,None reported,32000
Pontiac,Solstice GXP,2007,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,19000
Chevrolet,Corvette Z06,2006,505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,47500
Acura,MDX 3.5L Technology Package,2014,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,At least 1 accident or damage reported,17500
Dodge,Dakota Big Horn/Lone Star,2010,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Brown,At least 1 accident or damage reported,7500
Hyundai,Veloster Turbo R-Spec,2014,201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,None reported,11000
Porsche,Macan S,2016,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,None reported,36000
Ford,Explorer XLT,2014,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Charcoal Black,None reported,13715
Chrysler,300C Base,2013,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,13750
BMW,X5 xDrive35i,2014,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,12999
BMW,335 is,2012,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,None reported,20995
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,2.0L I4 16V GDI DOHC Hybrid,8-Speed Automatic,Gray,None reported,61999
Chevrolet,Silverado 1500 RST,2020,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,69999
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,67000
Honda,Accord Hybrid Base,2021,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Gray,None reported,28748
Cadillac,CTS 2.0L Turbo Luxury,2019,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Very Light Cashmere,None reported,30599
Tesla,Model Y Performance,2022,455.0HP Electric Motor Electric Fuel System,A/T,White,None reported,46500
Hyundai,Genesis 4.6,2010,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,10000
Jaguar,E-PACE 300 Sport,2021,296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,None reported,42999
Jeep,Grand Cherokee Laredo,2011,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,None reported,14995
Mercedes-Benz,AMG E 63 S 4MATIC,2019,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Brown,None reported,95000
Toyota,Land Cruiser Base,2008,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,At least 1 accident or damage reported,37900
Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,19000
BMW,M3 Base,2006,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,At least 1 accident or damage reported,42000
RAM,1500 Big Horn,2022,5.7L V8 16V MPFI OHV,Automatic,Black,None reported,50204
Hyundai,Accent GLS,2014,138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,7500
BMW,335 is,2011,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,At least 1 accident or damage reported,20000
Toyota,Camry Solara SLE,2008,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,At least 1 accident or damage reported,11500
Ford,F-250 Lariat,2017,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,None reported,61000
Cadillac,Escalade ESV Premium Luxury,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,81500
Hyundai,Sonata Hybrid Base,2012,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,At least 1 accident or damage reported,8500
Kia,Forte GT-Line,2021,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,21900
Nissan,350Z NISMO,2008,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,At least 1 accident or damage reported,28000
Porsche,718 Cayman GTS,2018,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,85500
Subaru,Forester 2.5 X,2004,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,,2300
Jaguar,F-PACE SVR,2020,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,57500
Ford,F-250 XLT,2017,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Beige,None reported,35500
Nissan,Armada Platinum,2018,5.6 Liter,Automatic,Charcoal,At least 1 accident or damage reported,26498
Lincoln,Mark LT Base,2006,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,12999
RAM,1500 Longhorn,2019,5.7L V8 16V MPFI OHV,8-Speed Automatic,Mountain Brown,At least 1 accident or damage reported,40995
Mercedes-Benz,SL-Class SL500 Roadster,2004,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,18853
Audi,Q5 S line Premium Plus,2022,2.0 Liter TFSI,Automatic,Black,None reported,44998
MINI,Cooper S Base,2006,168.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,5500
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,Automatic,Black,None reported,48190
Mercedes-Benz,E-Class E 350 4MATIC,2009,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,At least 1 accident or damage reported,4750
Land,Rover Range Rover Sport HSE,2013,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,15000
Chrysler,Town & Country LX,2009,170.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,7858
Mercedes-Benz,SL-Class SL 550,2014,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,29000
BMW,i8 Base,2015,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Brown,None reported,53000
Toyota,Camry XSE,2022,3.5 Liter,Automatic,Black,None reported,38298
RAM,1500 Rebel,2020,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,43500
Chevrolet,Silverado 2500 LTZ H/D Extended Cab,2008,353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,23500
Jeep,Wrangler Sport,2002,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Gray,None reported,12500
RAM,1500 Laramie,2019,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black,None reported,34918
Ford,Bronco Wildtrak Advanced,2022,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,–,At least 1 accident or damage reported,68995
Lexus,RC F Base,2015,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,None reported,43000
Ford,Mustang GT Premium,2019,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,32300
Audi,A8 4.0T,2014,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,22500
Lexus,RX 450h F SPORT Handling,2021,3.5 Liter DOHC,Variable,Red,None reported,52998
Ford,Mustang GT,2016,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,31000
Toyota,Land Cruiser Base,1998,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,At least 1 accident or damage reported,12490
Toyota,Avalon Limited,2008,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,7900
Jaguar,F-PACE 25t Premium,2019,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,34500
BMW,650 i,2009,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,18500
Chevrolet,Corvette Base,2007,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,None reported,27500
Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,2018,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,20000
Jeep,Wrangler Unlimited Sport,2020,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,None reported,35273
Chevrolet,Caprice Classic Base,1996,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,,18500
Chevrolet,Silverado 1500 LT,2019,2.7L I4 16V GDI DOHC Turbo,Automatic,Jet Black,,35670
Porsche,Taycan,2022,Electric,Automatic,Black,None reported,90998
Nissan,Murano SL,2021,3.5L V6 24V MPFI DOHC,Automatic CVT,Graphite,At least 1 accident or damage reported,29725
Ford,F-350 Lariat Crew Cab Super Duty DRW,2005,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,A/T,Beige,At least 1 accident or damage reported,13000
Chevrolet,Malibu 1LT,2017,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,16000
Tesla,Model Y Long Range,2023,425.0HP Electric Motor Electric Fuel System,A/T,White,None reported,48000
Honda,Element EX,2008,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,10500
Ford,Shelby GT350R Base,2018,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,Black,At least 1 accident or damage reported,77999
Ford,Mustang GT,2010,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,14900
Ford,F-250 XLT,2019,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,None reported,59000
Chevrolet,Cruze LT Automatic,2016,1.4L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black,At least 1 accident or damage reported,12999
BMW,528 i,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,16995
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,Automatic,Black,None reported,49700
Toyota,4Runner Trail,2011,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,23500
RAM,2500 Tradesman,2020,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,,45515
Honda,Civic EX,2013,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,14000
Toyota,Tacoma PreRunner,2011,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,18995
Nissan,Armada LE,2005,305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,6900
Porsche,Cayenne Turbo S,2014,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,36000
Porsche,911 Carrera 4,2014,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,At least 1 accident or damage reported,85500
Lamborghini,Aventador LP750-4 Superveloce,2017,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",Automatic,Nero Ade,None reported,449991
Ford,Focus SEL,2017,2.0L I4 16V GDI DOHC Flexible Fuel,6-Speed Automatic with Auto-Shift,Charcoal Black,None reported,13895
Kia,Sportage SX Turbo,2017,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,None reported,18688
Ford,F-350 XLT,2013,316.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,At least 1 accident or damage reported,35000
RAM,ProMaster 2500 High Roof,2018,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,36990
Porsche,Panamera 2,2011,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,20900
Land,Rover Range Rover P525 HSE SWB,2020,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,64500
Audi,A4 2.0T Premium quattro,2011,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,5500
BMW,X5 3.0i,2004,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,6730
Lexus,RX 450h Base,2018,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gray,None reported,35700
Porsche,911 GT3 RS,2019,4.0L H6 24V GDI DOHC,7-Speed Automatic with Auto-Shift,Black,None reported,229900
Nissan,Pathfinder S,2017,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,8500
Lamborghini,Huracan LP580-2,2017,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,Nero Ade,None reported,209991
Lamborghini,Huracan LP580-2S,2019,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Nero Ade,None reported,234900
GMC,Yukon SLT,2002,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,None reported,4999
Subaru,Outback Limited,2020,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,None reported,28300
Toyota,Tundra Hybrid TRD Pro,2022,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,–,None reported,75500
Chevrolet,Suburban Z71,2022,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,69790
Lexus,LX 570 Three-Row,2021,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,None reported,82000
Nissan,Maxima SV,2014,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,10900
Ford,Transit Connect XLT,2010,2.0L I4 16V MPFI DOHC,4-Speed Automatic,Dark Gray,None reported,9985
Ford,Mustang Mach-E Select,2021,266.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,39499
Kia,Telluride EX X-Line,2023,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,None reported,48000
Chevrolet,Silverado 1500 W/T,2006,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,4000
Jaguar,XJ Base,2013,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,8800
Toyota,RAV4 TRD Off Road,2020,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,35200
Hummer,H2 Base,2008,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,55000
Alfa,Romeo Stelvio Base,2018,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,27500
Ford,Bronco Sport Big Bend,2021,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Medium Dark Slate,None reported,28979
Ford,Excursion Limited,2001,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,–,None reported,8000
Ford,F-150 Lariat,2021,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,None reported,47850
Chevrolet,Suburban Premier,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,34900
INFINITI,Q50 3.0t Red Sport 400,2018,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,28900
Mercedes-Benz,Sprinter High Roof,2015,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Gray,None reported,39500
Rolls-Royce,Ghost Base,2021,563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel,A/T,White,None reported,314900
